[20.10.2024 | 12:51:45] Ending Scene state...



[20.10.2024 | 15:51:25] Launching "DronsEngine Game"...
[20.10.2024 | 15:51:26] Initialization...
[20.10.2024 | 15:51:27] Starting Scene state...
[20.10.2024 | 15:51:27] Start game loop...
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][ WARNING ] EVENT 2!
[20.10.2024 | 15:51:31][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:31][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:31][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][  ERROR  ] EVENT 1!
[20.10.2024 | 15:51:32][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:34] Resizing game window...
[20.10.2024 | 15:52:34] Resizing game window...
[20.10.2024 | 15:52:36] Resizing game window...
[20.10.2024 | 15:52:37] Resizing game window...
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:38][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
